year,month,country_1,country_2,event_root_code,count
1993,1,,,11,4
1993,1,,,13,2
1993,1,,,12,4
1993,1,,,17,6
1993,1,,,16,1
1993,1,,,19,9
1993,1,,,1,10
1993,1,,,3,13
1993,1,,,2,5
1993,1,,,5,5
1993,1,,,4,29
1993,1,,,7,3
1993,1,,,6,4
1993,1,,,8,6
1993,1,,BE,4,1
1993,1,,FR,19,1
1993,1,,BG,4,1
1993,1,, Israel (general),11,1
1993,1,,BA,4,1
1993,1,, Huanuco,19,1
1993,1,,HR,4,1
1993,1,, Chiapas,5,1
1993,1,,BK,3,1
1993,1,,BU,4,1
1993,1,, District of Columbia,8,1
1993,1,, (CB11),16,1
1993,1,, Tehran,4,1
1993,1,, Baghdad,13,1
1993,1,,RW,4,1
1993,1,, Tokyo,19,1
1993,1,,RS,8,1
1993,1,,TU,4,1
1993,1,, Amazonas,2,1
1993,1,, HaMerkaz,1,1
1993,1,, Federation of Bosnia and Herzegovina,11,1
1993,1,, Federation of Bosnia and Herzegovina,3,1
1993,1,, Romania (general),2,1
1993,1,, Serbia (general),3,1
1993,1,, Jalisco,11,1
1993,1,, Maharashtra,3,1
1993,1,,RI,19,1
1993,1,,RI,3,1
1993,1,, AttikíR,4,1
1993,1,, Splitsko-Dalmatinska,4,1
1993,1,,IZ,19,1
1993,1,,IZ,10,1
1993,1,, T'ai-pei,4,1
1993,1,,IS,5,1
1993,1,, Manila,8,1
1993,1,, Katanga,11,1
1993,1,,AL,4,1
1993,1,, Nepal (general),1,1
1993,1,, California,4,1
1993,1,, Khuzestan,4,1
1993,1,, Moskva,3,1
1993,1,, Moskva,5,1
1993,1,, Moskva,4,1
1993,1,, Nordrhein-Westfalen,4,1
1993,1,, (ET10),4,1
1993,1,, Krávéadecký,11,1
1993,1,, Al Basrah,11,1
1993,1,, Shanghai,17,1
1993,1,,US,10,1
1993,1,, Sistan va Baluchestan,1,1
1993,1,, Zadarska,11,1
1993,1,, Zadarska,4,1
1993,1,, United States,13,1
1993,1,, United States,4,2
1993,1,, Yangon,8,1
1993,1,, Banaadir,1,1
1993,1,BE,BE,2,1
1993,1,BE, RhôAlpes,3,1
1993,1, Waals Gewest,0,18,1
1993,1, Waals Gewest,4,12,1
1993,1,BA,BA,3,1
1993,1, Centre,4,1,1
1993,1, Federally Administered Tribal Areas,4,1,1
1993,1, Delhi,1,4,1
1993,1, Delhi,NA,11,1
1993,1, Delhi,NA,1,1
1993,1, Delhi,NA,15,1
1993,1, Delhi,4,7,2
1993,1,BM, Krung Thep Mahanakhon,1,1
1993,1, Yerevan*,4,19,1
1993,1, Yerevan*,4,2,1
1993,1, Soul-t'ukpyolsi,4,4,1
1993,1,GZ,GZ,13,1
1993,1,BK,HR,12,1
1993,1,BK, Dhi Qar,5,1
1993,1,BK,BK,19,1
1993,1,BK,BK,2,1
1993,1,BU,UZ,3,1
1993,1, New York,3,4,1
1993,1,JO,JO,3,1
1993,1, Janub Sina',0,4,1
1993,1, Tehran,0,5,1
1993,1, Tehran,4,1,1
1993,1, Tehran,4,4,1
1993,1,JA,,18,1
1993,1,JA,CH,5,1
1993,1,JA,MY,4,1
1993,1,JA,JA,1,1
1993,1,JA,JA,2,1
1993,1,JA,JA,4,1
1993,1, Abu Z¸aby,1,4,1
1993,1, ,4,19,1
1993,1, ,4,12,1
1993,1,RP,,2,1
1993,1,RQ,RQ,5,1
1993,1,RS,,1,2
1993,1,RS,,3,2
1993,1,RS,,2,1
1993,1,RS,,5,1
1993,1,RS,,4,1
1993,1,RS, Praha,4,1
1993,1,RS, Harjumaa,4,1
1993,1,RS,JA,2,1
1993,1,RS,RS,11,1
1993,1,RS,RS,17,1
1993,1,RS,RS,1,2
1993,1,RS,RS,2,1
1993,1,RS,RS,4,4
1993,1,RS,RS,8,1
1993,1, Sirnak,0,19,1
1993,1, Hwanghae-namdo,1,1,1
1993,1,MK,,3,1
1993,1,MK,MK,1,1
1993,1, HaMerkaz,NA,5,1
1993,1, Huambo,5,13,1
1993,1, Huambo,4,1,1
1993,1, Huambo,4,19,1
1993,1,RB,,12,1
1993,1,RB,,19,1
1993,1,RB,,1,2
1993,1,RB,,7,1
1993,1,RB,,9,1
1993,1,RB,,8,1
1993,1,RB, Eteläuomen Läi,10,1
1993,1,RB, Zagreb,19,1
1993,1,RB,HR,19,1
1993,1,RB,HR,16,1
1993,1,RB,AL,4,1
1993,1,RB,BK,4,1
1993,1,RB, Croatia (general),10,1
1993,1,RB,RB,17,1
1993,1,RB, Splitsko-Dalmatinska,3,1
1993,1,RB,GM,3,1
1993,1,RB,RI,12,1
1993,1, Kastamonu,4,4,1
1993,1, Splitsko-Dalmatinska,1,19,1
1993,1, Splitsko-Dalmatinska,0,9,1
1993,1, Splitsko-Dalmatinska,4,19,1
1993,1, Splitsko-Dalmatinska,4,4,1
1993,1, Splitsko-Dalmatinska,4,7,1
1993,1, Splitsko-Dalmatinska,NA,8,1
1993,1, Jalisco,2,8,1
1993,1,RI,HR,13,1
1993,1,RI,RI,11,1
1993,1,RI,RI,1,2
1993,1,RI, Genè,3,1
1993,1,RO,RO,12,1
1993,1, Giurgiu,4,8,1
1993,1,GT,GT,2,2
1993,1,TH,,2,1
1993,1,TH, P'yongyang-si,4,1
1993,1,TH,TH,1,1
1993,1, T'ai-pei,1,3,1
1993,1, T'ai-pei,0,4,1
1993,1, Edo,4,14,1
1993,1, Vietnam (general),-3722886,2,1
1993,1, Harjumaa,1,1,1
1993,1, Harjumaa,4,2,1
1993,1, Washington,NA,4,1
1993,1, Washington,3,1,1
1993,1, Washington,3,14,1
1993,1, Balochistan,4,1,1
1993,1, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk,4,4,1
1993,1, Baja California,NA,1,1
1993,1, Baja California,4,14,1
1993,1, Nordrhein-Westfalen,0,7,1
1993,1, Lagos,4,11,1
1993,1, Lagos,4,5,1
1993,1, Lagos,4,7,1
1993,1, (PL67),NA,1,1
1993,1, (PL67),NA,3,1
1993,1, (PL67),4,2,2
1993,1, Laghouat,NA,11,1
1993,1, Zaire,0,17,1
1993,1,GM,GM,1,1
1993,1,GM,GM,3,1
1993,1,GM,GM,2,2
1993,1,GM,GM,5,1
1993,1,GM,JA,4,1
1993,1,NZ,NZ,6,1
1993,1,PE,CU,4,1
1993,1, Blagoevgrad,4,3,1
1993,1, Vukovarsko-Srijemska,4,5,1
1993,1,TW,TW,5,1
1993,1, (ET10),4,19,1
1993,1, (ET10),4,4,2
1993,1, Anhui,0,4,1
1993,1, Wien,1,19,1
1993,1, Kahramanmaras,4,5,1
1993,1, Neno District,4,2,1
1993,1, Madanin,0,4,1
1993,1, Dubrovacko-Neretvanska,4,10,1
1993,1, Tyva,1,4,1
1993,1, Berlin,2,1,1
1993,1, Berlin,4,19,1
1993,1, Berlin,4,12,1
1993,1, Tamil Nadu,4,4,1
1993,1, Dublin,0,4,1
1993,1, Maryland,3,4,2
1993,1, Bratislavsky Kraj,NA,1,1
1993,1, Bratislavsky Kraj,4,1,1
1993,1, Bratislavsky Kraj,4,3,1
1993,1, Bratislavsky Kraj,4,2,1
1993,1, Bratislavsky Kraj,4,4,1
1993,1, Banaadir,NA,11,1
1993,1, Banaadir,1,4,1
1993,1, Banaadir,1,7,1
1993,1, Banaadir,0,5,1
1993,1, Banaadir,0,4,1
1993,1, Banaadir,3,4,1
1993,1, Banaadir,2,2,1
1993,1, Banaadir,4,1,1
1993,1, Banaadir,4,19,1
1993,1, Banaadir,4,2,1
1993,1, Banaadir,4,5,1
1993,1, Banaadir,4,4,3
1993,1, El Salvador (general),4,4,1
1993,1, Luanda,4,19,1
1993,1, Luanda,4,11,1
1993,1, Luanda,4,1,1
1993,1, Rangpur,4,7,1
1993,1, Israel (general),1,2,1
1993,1, Israel (general),1,4,2
1993,1, Israel (general),NA,1,2
1993,1, Israel (general),NA,7,2
1993,1, Israel (general),NA,17,1
1993,1, Israel (general),4,11,1
1993,1, Israel (general),4,13,1
1993,1, Israel (general),4,14,1
1993,1, Israel (general),4,17,1
1993,1, Israel (general),4,19,2
1993,1, Israel (general),4,1,2
1993,1, Israel (general),4,3,2
1993,1, Israel (general),4,2,2
1993,1, Israel (general),4,4,5
1993,1, Israel (general),4,6,1
1993,1, Israel (general),0,9,1
1993,1, Herrera,4,17,1
1993,1, Republika Srpska,NA,11,1
1993,1, Cuanza Norte,NA,3,1
1993,1, Cuanza Norte,NA,4,1
1993,1,HR,HR,1,1
1993,1,HR,HR,3,2
1993,1,HR,HR,4,1
1993,1,HR,HR,17,1
1993,1,HR,,19,1
1993,1,HR,,2,2
1993,1,HR,RB,19,1
1993,1,HR,BK,4,1
1993,1, Toshkent Shahri,4,4,1
1993,1, Al MuthannáZ,4,19,1
1993,1, Al MuthannáZ,4,4,1
1993,1, Stavropol'skiy Kray,NA,17,1
1993,1, Stavropol'skiy Kray,4,4,1
1993,1,HU,,4,1
1993,1,HU,US,17,1
1993,1, Ankara,NA,19,1
1993,1, Ankara,4,5,1
1993,1, Ankara,4,4,1
1993,1, Virovitick-Podravska,1,4,1
1993,1,FI, Harjumaa,6,1
1993,1, Arauca,4,18,1
1993,1, Lombardia,4,17,1
1993,1, Western,1,4,1
1993,1, Western,NA,1,1
1993,1, Western,4,4,1
1993,1, Western,4,16,1
1993,1,HA,,8,1
1993,1,HA,,5,1
1993,1,HA, United States,4,1
1993,1,HA,HA,13,1
1993,1, Sofiya-Grad,1,16,1
1993,1, Sofiya-Grad,NA,4,1
1993,1, Sofiya-Grad,0,2,1
1993,1,CB,,4,1
1993,1,CB,CB,12,1
1993,1, Georgia,3,11,1
1993,1, Georgia,3,17,1
1993,1, Georgia,2,4,1
1993,1, Al Khartum,4,19,1
1993,1, Al Khartum,4,3,1
1993,1, Baghdad,1,11,1
1993,1, Baghdad,1,8,1
1993,1, Baghdad,1,12,1
1993,1, Baghdad,1,4,3
1993,1, Baghdad,NA,19,1
1993,1, Baghdad,NA,8,1
1993,1, Baghdad,NA,1,1
1993,1, Baghdad,NA,17,1
1993,1, Baghdad,3,1,1
1993,1, Baghdad,3,12,1
1993,1, Baghdad,2,19,1
1993,1, Baghdad,4,11,2
1993,1, Baghdad,4,13,1
1993,1, Baghdad,4,15,1
1993,1, Baghdad,4,19,4
1993,1, Baghdad,4,3,1
1993,1, Baghdad,4,2,2
1993,1, Baghdad,4,5,2
1993,1, Baghdad,4,9,1
1993,1, Baghdad,4,8,1
1993,1, Ukraine (general),4,11,1
1993,1, Ukraine (general),4,2,1
1993,1, Ukraine (general),4,4,1
1993,1, Niedersachsen,NA,1,1
1993,1, Nabatî,1,19,1
1993,1, Sindh,0,3,1
1993,1, Sindh,4,11,1
1993,1, Sindh,4,4,1
1993,1,DA,,1,1
1993,1, Ohio,3,2,1
1993,1,PK,PK,1,1
1993,1, Kuwait (general),4,4,1
1993,1, Al Basrah,1,4,1
1993,1, Al Basrah,4,3,1
1993,1, Al Basrah,4,2,1
1993,1,PO,PO,19,1
1993,1,PO,US,3,1
1993,1,PL,,3,1
1993,1,PL,PL,5,1
1993,1,PL,PL,4,1
1993,1,PL,EZ,5,1
1993,1, Jammu and Kashmir,5,4,1
1993,1, Magway,4,1,1
1993,1,EN,EN,4,1
1993,1,EI, Craigavon,4,1
1993,1, Oceans (general),4,3,1
1993,1, Oceans (general),4,7,1
1993,1, Madrid,NA,4,1
1993,1, Madrid,4,1,1
1993,1, Madrid,4,4,1
1993,1,AM,AM,1,1
1993,1,EG,,19,1
1993,1,EG,EG,8,1
1993,1,EG,EG,3,1
1993,1, ibensko-Kniniska,4,19,1
1993,1,ZA,ZA,4,1
1993,1,ZA,ZI,1,1
1993,1, Manila,1,5,1
1993,1, Manila,1,4,1
1993,1, Down,4,4,1
1993,1, London,-2601889,11,1
1993,1, London,-2601889,4,2
1993,1, Liaoning,4,1,1
1993,1,EZ, Pest,5,1
1993,1,EZ,EZ,11,1
1993,1,NL,NL,3,1
1993,1,NL,NL,4,1
1993,1, San Salvador,1,3,1
1993,1, Krung Thep Mahanakhon,4,4,1
1993,1, Distrito Federal,4,10,1
1993,1, Moskva,1,19,1
1993,1, Moskva,1,2,1
1993,1, Moskva,1,5,1
1993,1, Moskva,0,11,1
1993,1, Moskva,0,1,5
1993,1, Moskva,0,3,1
1993,1, Moskva,0,2,2
1993,1, Moskva,0,5,5
1993,1, Moskva,0,4,3
1993,1, Moskva,2,8,1
1993,1, Moskva,4,2,1
1993,1, Moskva,4,5,1
1993,1, Moskva,4,4,2
1993,1, Moskva,NA,11,1
1993,1, Moskva,NA,5,1
1993,1, Moskva,NA,4,1
1993,1, Moskva,NA,16,1
1993,1,ER,CH,1,1
1993,1, Bucuresti,NA,1,1
1993,1, Tul'skaya Oblast',4,4,1
1993,1, Kermanshah,NA,1,1
1993,1,SG,TU,3,1
1993,1,MO,TS,5,1
1993,1, Sofala,4,1,1
1993,1,MI,,1,1
1993,1,UP,UP,1,1
1993,1,UP,UP,2,1
1993,1,UP, Belarus (general),5,1
1993,1,US,,1,1
1993,1,US,,10,1
1993,1,US,,3,2
1993,1,US,,4,1
1993,1,US,,11,1
1993,1,US, Adan,1,1
1993,1,US, Israel (general),10,1
1993,1,US,RS,5,1
1993,1,US, Riga,3,1
1993,1,US, Manila,4,1
1993,1,US,UP,2,1
1993,1,US,US,11,2
1993,1,US,US,10,1
1993,1,US,US,19,1
1993,1,US,US,3,1
1993,1,US,US,5,1
1993,1,US,US,4,3
1993,1,US,US,6,2
1993,1,US,KU,4,1
1993,1,US, Dimashq,4,1
1993,1,US, Baghdad,4,1
1993,1,US, RhôAlpes,9,1
1993,1,MU,JO,2,1
1993,1,MU,SN,4,1
1993,1,MU,MR,4,1
1993,1,LG,LG,1,1
1993,1, Ha?afon,NA,12,1
1993,1, Ha?afon,4,1,1
1993,1, Chiba,0,1,1
1993,1, Bishkek,4,3,1
1993,1,UK,,12,1
1993,1,UK,,2,2
1993,1,UK,,4,1
1993,1,UK, Al MuthannáZ,11,1
1993,1,UK,SP,4,1
1993,1,UK, Al Qahirah,5,1
1993,1,UK,US,4,1
1993,1,UK, Zadarska,3,1
1993,1,UK,UK,1,1
1993,1,UK,UK,3,1
1993,1,UK,UK,13,1
1993,1,UK,UK,7,2
1993,1,UK,UK,4,2
1993,1,UK, Jubbada Hoose,11,1
1993,1,UK, Bá-Kiskun,9,1
1993,1,UK, Baghdad,19,1
1993,1,UK, NariñO,1,1
1993,1, Bosnia and Herzegovina (general),NA,19,1
1993,1, Bosnia and Herzegovina (general),4,18,1
1993,1, Jubbada Hoose,3,1,1
1993,1, Jubbada Hoose,3,17,1
1993,1, Jubbada Hoose,4,4,1
1993,1, Littoral,4,4,1
1993,1, Kenya (general),NA,3,1
1993,1, DiyaláZ,NA,2,1
1993,1, DiyaláZ,4,4,1
1993,1, Tyumenskaya Oblast',5,4,1
1993,1, RhôAlpes,1,9,1
1993,1, RhôAlpes,1,4,2
1993,1, RhôAlpes,0,19,1
1993,1, RhôAlpes,0,4,1
1993,1, RhôAlpes,4,10,1
1993,1, RhôAlpes,NA,5,1
1993,1, Chechnya and Ingushetiya,4,4,1
1993,1, Phuket,4,9,1
1993,1,FR,,1,1
1993,1,FR,,8,1
